model,query,source_id,source_title,source_release_year,source_genres,rank,recommended_id,recommended_title,recommended_release_year,recommended_genres,vote_average,vote_count,score,genre_overlap
CountVectorizer + Cosine,Spirited Away,129,Spirited Away,2001,animation family fantasy,6,52795,Doraemon: Nobita's New Great Adventure Into the Underworld - The Seven Magic Users,2007,family adventure animation science fiction fantasy,7.244,90.0,0.23549302621278106,0.5
CountVectorizer + Cosine,Spirited Away,129,Spirited Away,2001,animation family fantasy,7,315465,The Boy and the Beast,2015,action adventure animation drama family fantasy,7.908,1606.0,0.23280381982995835,0.5
CountVectorizer + Cosine,Spirited Away,129,Spirited Away,2001,animation family fantasy,8,21481,Twitches,2005,comedy drama family fantasy tv movie,6.746,544.0,0.22841609628806428,0.2857142857142857
CountVectorizer + Cosine,Spirited Away,129,Spirited Away,2001,animation family fantasy,9,51739,The Secret World of Arrietty,2010,fantasy animation family,7.67,3175.0,0.22655045777254926,1.0
CountVectorizer + Cosine,Spirited Away,129,Spirited Away,2001,animation family fantasy,10,408355,Throne of Elves,2016,fantasy animation family,7.601,217.0,0.225375940111785,1.0
TF-IDF + Cosine,Spirited Away,129,Spirited Away,2001,animation family fantasy,1,222661,The Day I Bought a Star,2006,animation fantasy science fiction,7.8,14.0,0.290208007292589,0.4
TF-IDF + Cosine,Spirited Away,129,Spirited Away,2001,animation family fantasy,2,4935,Howl's Moving Castle,2004,fantasy animation adventure,8.388,11107.0,0.22528112008164283,0.5
TF-IDF + Cosine,Spirited Away,129,Spirited Away,2001,animation family fantasy,3,77194,The Boy Who Saw the Wind,2000,adventure family animation fantasy,6.9,10.0,0.1956720269902952,0.75
TF-IDF + Cosine,Spirited Away,129,Spirited Away,2001,animation family fantasy,4,54074,Kitaro,2007,fantasy action science fiction,5.464,14.0,0.17148374630503585,0.16666666666666666
TF-IDF + Cosine,Spirited Away,129,Spirited Away,2001,animation family fantasy,5,51739,The Secret World of Arrietty,2010,fantasy animation family,7.67,3175.0,0.17030940076848478,1.0
TF-IDF + Cosine,Spirited Away,129,Spirited Away,2001,animation family fantasy,6,42000,The Great Yokai War,2005,comedy fantasy action,6.329,76.0,0.16662514835202244,0.2
TF-IDF + Cosine,Spirited Away,129,Spirited Away,2001,animation family fantasy,7,125132,Yakuza Ladies,1986,drama crime,5.5,12.0,0.16395656948965193,0.0
TF-IDF + Cosine,Spirited Away,129,Spirited Away,2001,animation family fantasy,8,430447,Mary and The Witch's Flower,2017,animation adventure family fantasy,7.15,908.0,0.16135728486521198,0.75
TF-IDF + Cosine,Spirited Away,129,Spirited Away,2001,animation family fantasy,9,28874,Summer Wars,2009,animation science fiction,7.456,1034.0,0.16108046238618795,0.2
TF-IDF + Cosine,Spirited Away,129,Spirited Away,2001,animation family fantasy,10,773621,Natsume's Book of Friends: The Waking Rock and the Strange Visitor,2021,animation drama fantasy,7.0,20.0,0.15784866427263125,0.5
Word2Vec + Qdrant,Interstellar,157336,Interstellar,2014,adventure drama science fiction,1,286217,The Martian,2015,science fiction drama adventure,7.7,21253.0,0.9460315,1.0
Word2Vec + Qdrant,Interstellar,157336,Interstellar,2014,adventure drama science fiction,2,687163,Project Hail Mary,2026,science fiction adventure,8.671,4888.0,0.93543583,0.75
Word2Vec + Qdrant,Interstellar,157336,Interstellar,2014,adventure drama science fiction,3,329865,Arrival,2016,drama science fiction mystery,7.626,19383.0,0.91860884,0.6
Word2Vec + Qdrant,Interstellar,157336,Interstellar,2014,adventure drama science fiction,4,13475,Star Trek,2009,science fiction action adventure,7.431,10500.0,0.92261237,0.6
Word2Vec + Qdrant,Interstellar,157336,Interstellar,2014,adventure drama science fiction,5,274870,Passengers,2016,drama romance science fiction,6.955,14243.0,0.91025376,0.6
Word2Vec + Qdrant,Interstellar,157336,Interstellar,2014,adventure drama science fiction,6,95,Armageddon,1998,action science fiction adventure,6.835,8589.0,0.9261312,0.6
Word2Vec + Qdrant,Interstellar,157336,Interstellar,2014,adventure drama science fiction,7,601,E.T. the Extra-Terrestrial,1982,drama family fantasy science fiction,7.5,12016.0,0.89900607,0.5
Word2Vec + Qdrant,Interstellar,157336,Interstellar,2014,adventure drama science fiction,8,49047,Gravity,2013,science fiction thriller drama,7.169,16359.0,0.8914448,0.6
Word2Vec + Qdrant,Interstellar,157336,Interstellar,2014,adventure drama science fiction,9,75,Mars Attacks!,1996,comedy fantasy science fiction,6.423,5884.0,0.9219886,0.3333333333333333
Word2Vec + Qdrant,Interstellar,157336,Interstellar,2014,adventure drama science fiction,10,686,Contact,1997,drama science fiction mystery,7.444,5004.0,0.9015026,0.6
Word2Vec + Qdrant,Inception,27205,Inception,2010,action science fiction adventure,1,1124,The Prestige,2006,drama mystery science fiction,8.208,17617.0,0.8392017,0.3333333333333333
Word2Vec + Qdrant,Inception,27205,Inception,2010,action science fiction adventure,2,37165,The Truman Show,1998,comedy drama,8.154,20267.0,0.8154166,0.0
Word2Vec + Qdrant,Inception,27205,Inception,2010,action science fiction adventure,3,131634,The Hunger Games: Mockingjay - Part 2,2015,action adventure science fiction,6.9,13350.0,0.85448706,1.0
Word2Vec + Qdrant,Inception,27205,Inception,2010,action science fiction adventure,4,101299,The Hunger Games: Catching Fire,2013,adventure action science fiction,7.427,18459.0,0.8269808,1.0
Word2Vec + Qdrant,Inception,27205,Inception,2010,action science fiction adventure,5,131631,The Hunger Games: Mockingjay - Part 1,2014,science fiction adventure thriller,6.8,16740.0,0.8374109,0.6
Word2Vec + Qdrant,Inception,27205,Inception,2010,action science fiction adventure,6,1635,The Island,2005,action thriller science fiction,6.697,5884.0,0.8661348,0.6
Word2Vec + Qdrant,Inception,27205,Inception,2010,action science fiction adventure,7,339988,The Circle,2017,drama thriller science fiction,5.523,4589.0,0.8851342,0.3333333333333333
Word2Vec + Qdrant,Inception,27205,Inception,2010,action science fiction adventure,8,49530,In Time,2011,action thriller science fiction,6.971,12172.0,0.84096295,0.6
Word2Vec + Qdrant,Inception,27205,Inception,2010,action science fiction adventure,9,51876,Limitless,2011,thriller mystery science fiction,7.202,11493.0,0.82839847,0.3333333333333333
Word2Vec + Qdrant,Inception,27205,Inception,2010,action science fiction adventure,10,9620,Paycheck,2003,action adventure mystery science fiction thriller,6.22,2039.0,0.869462,0.6666666666666666
Word2Vec + Qdrant,The Dark Knight,155,The Dark Knight,2008,action crime thriller,1,49026,The Dark Knight Rises,2012,action crime drama thriller,7.795,24399.0,0.9510254,0.75
Word2Vec + Qdrant,The Dark Knight,155,The Dark Knight,2008,action crime thriller,2,272,Batman Begins,2005,drama crime action,7.727,22645.0,0.9280948,0.5
Word2Vec + Qdrant,The Dark Knight,155,The Dark Knight,2008,action crime thriller,3,268,Batman,1989,fantasy action crime,7.2,8583.0,0.9467982,0.5
Word2Vec + Qdrant,The Dark Knight,155,The Dark Knight,2008,action crime thriller,4,414906,The Batman,2022,crime mystery thriller,7.7,11975.0,0.91624945,0.5
Word2Vec + Qdrant,The Dark Knight,155,The Dark Knight,2008,action crime thriller,5,364,Batman Returns,1992,action fantasy,6.946,7099.0,0.9154409,0.25
Word2Vec + Qdrant,The Dark Knight,155,The Dark Knight,2008,action crime thriller,6,495764,Birds of Prey (and the Fantabulous Emancipation of One Harley Quinn),2020,action crime,6.877,10820.0,0.9015551,0.6666666666666666
Word2Vec + Qdrant,The Dark Knight,155,The Dark Knight,2008,action crime thriller,7,752,V for Vendetta,2006,action thriller science fiction,7.901,15579.0,0.8689959,0.4
Word2Vec + Qdrant,The Dark Knight,155,The Dark Knight,2008,action crime thriller,8,22803,Law Abiding Citizen,2009,drama crime thriller,7.394,5682.0,0.89670515,0.5
Word2Vec + Qdrant,The Dark Knight,155,The Dark Knight,2008,action crime thriller,9,14919,Batman: Mask of the Phantasm,1993,animation crime mystery,7.496,1247.0,0.9002696,0.2
Word2Vec + Qdrant,The Dark Knight,155,The Dark Knight,2008,action crime thriller,10,23483,Kick-Ass,2010,action crime,7.125,12391.0,0.8715099,0.6666666666666666
Word2Vec + Qdrant,Titanic,597,Titanic,1997,drama romance,1,59709,Britannic,2000,action drama history tv movie war,6.833,78.0,0.8973998,0.1428571428571428
Word2Vec + Qdrant,Titanic,597,Titanic,1997,drama romance,2,11036,The Notebook,2004,romance drama,7.888,12564.0,0.82763624,1.0
Word2Vec + Qdrant,Titanic,597,Titanic,1997,drama romance,3,4922,The Curious Case of Benjamin Button,2008,drama fantasy romance,7.6,13740.0,0.8268054,0.6666666666666666
Word2Vec + Qdrant,Titanic,597,Titanic,1997,drama romance,4,8358,Cast Away,2000,adventure drama,7.662,12281.0,0.8202063,0.3333333333333333
Word2Vec + Qdrant,Titanic,597,Titanic,1997,drama romance,5,363676,Sully,2016,drama history,7.204,7726.0,0.8342587,0.3333333333333333
Word2Vec + Qdrant,Titanic,597,Titanic,1997,drama romance,6,205775,In the Heart of the Sea,2015,thriller drama adventure action history,6.8,4356.0,0.84506285,0.1666666666666666
Word2Vec + Qdrant,Titanic,597,Titanic,1997,drama romance,7,2133,The Perfect Storm,2000,drama adventure action,6.5,2562.0,0.85106003,0.25
Word2Vec + Qdrant,Titanic,597,Titanic,1997,drama romance,8,52886,Castaway,1986,adventure romance drama,6.3,122.0,0.8560762,0.6666666666666666
Word2Vec + Qdrant,Titanic,597,Titanic,1997,drama romance,9,429300,Adrift,2018,thriller romance adventure,6.841,2699.0,0.8395798,0.25
Word2Vec + Qdrant,Titanic,597,Titanic,1997,drama romance,10,8619,Master and Commander: The Far Side of the World,2003,adventure drama war,7.198,3532.0,0.82909524,0.25
Word2Vec + Qdrant,Toy Story,862,Toy Story,1995,family comedy animation adventure,1,10193,Toy Story 3,2010,animation family comedy,7.807,15750.0,0.93864965,0.75
Word2Vec + Qdrant,Toy Story,862,Toy Story,1995,family comedy animation adventure,2,585,"Monsters, Inc.",2001,animation comedy family fantasy,7.851,19808.0,0.91070324,0.6
Word2Vec + Qdrant,Toy Story,862,Toy Story,1995,family comedy animation adventure,3,863,Toy Story 2,1999,animation comedy family,7.608,14918.0,0.9277019,0.75
Word2Vec + Qdrant,Toy Story,862,Toy Story,1995,family comedy animation adventure,4,301528,Toy Story 4,2019,family comedy animation adventure,7.5,10551.0,0.92736816,1.0
Word2Vec + Qdrant,Toy Story,862,Toy Story,1995,family comedy animation adventure,5,150540,Inside Out,2015,animation family adventure drama comedy,7.909,23485.0,0.87870646,0.8
Word2Vec + Qdrant,Toy Story,862,Toy Story,1995,family comedy animation adventure,6,1226863,The Super Mario Galaxy Movie,2026,family comedy adventure fantasy animation,8.166,2517.0,0.8729142,0.8
Word2Vec + Qdrant,Toy Story,862,Toy Story,1995,family comedy animation adventure,7,82690,Wreck-It Ralph,2012,family animation comedy adventure,7.357,13081.0,0.8789214,1.0
Word2Vec + Qdrant,Toy Story,862,Toy Story,1995,family comedy animation adventure,8,14836,Coraline,2009,animation family fantasy,7.911,9008.0,0.86864185,0.4
Word2Vec + Qdrant,Toy Story,862,Toy Story,1995,family comedy animation adventure,9,1022789,Inside Out 2,2024,animation adventure comedy family,7.546,6706.0,0.8732007,1.0
Word2Vec + Qdrant,Toy Story,862,Toy Story,1995,family comedy animation adventure,10,420821,Chip 'n Dale: Rescue Rangers,2022,animation family comedy adventure mystery,6.989,1373.0,0.8959844,0.8
Word2Vec + Qdrant,Avatar,1096978,Avatar,2006,drama,1,8088,Broken Embraces,2009,drama romance thriller,7.154,715.0,0.89896935,0.3333333333333333
Word2Vec + Qdrant,Avatar,1096978,Avatar,2006,drama,2,20941,Innocent Voices,2005,drama war,8.165,522.0,0.88365424,0.5
Word2Vec + Qdrant,Avatar,1096978,Avatar,2006,drama,3,56810,The Blind Sunflowers,2008,drama,6.5,70.0,0.90824646,1.0
Word2Vec + Qdrant,Avatar,1096978,Avatar,2006,drama,4,80184,The Hidden Face,2011,thriller mystery,7.303,1142.0,0.8888414,0.0
Word2Vec + Qdrant,Avatar,1096978,Avatar,2006,drama,5,1407635,The Good Manners,2025,drama,6.5,20.0,0.899864,1.0
Word2Vec + Qdrant,Avatar,1096978,Avatar,2006,drama,6,80713,Alone,1999,drama,7.019,54.0,0.89054084,1.0
Word2Vec + Qdrant,Avatar,1096978,Avatar,2006,drama,7,517331,The Realm,2018,thriller mystery drama,7.1,474.0,0.88768077,0.3333333333333333
Word2Vec + Qdrant,Avatar,1096978,Avatar,2006,drama,8,331110,Sicarivs: The Night and the Silence,2015,drama crime thriller,7.2,28.0,0.8854494,0.3333333333333333
Word2Vec + Qdrant,Avatar,1096978,Avatar,2006,drama,9,189362,Sunday Light,2007,drama romance thriller,6.0,10.0,0.9026129,0.3333333333333333
Word2Vec + Qdrant,Avatar,1096978,Avatar,2006,drama,10,768566,The Day I Lost Myself,2020,drama thriller,7.5,16.0,0.8809915,0.5
Word2Vec + Qdrant,Parasite,48311,Parasite,1982,horror science fiction,1,26889,The Brother from Another Planet,1984,comedy science fiction drama,6.658,98.0,0.89969826,0.4
Word2Vec + Qdrant,Parasite,48311,Parasite,1982,horror science fiction,2,11683,Land of the Dead,2005,horror science fiction thriller,6.264,1801.0,0.8957772,0.75
Word2Vec + Qdrant,Parasite,48311,Parasite,1982,horror science fiction,3,40221,The Borrower,1991,science fiction comedy horror,5.0,60.0,0.9178598,0.75
Word2Vec + Qdrant,Parasite,48311,Parasite,1982,horror science fiction,4,92562,Metamorphosis: The Alien Factor,1990,horror science fiction,6.1,41.0,0.8990623,1.0
Word2Vec + Qdrant,Parasite,48311,Parasite,1982,horror science fiction,5,55792,Simon,1980,comedy science fiction,6.333,24.0,0.8949791,0.5
Word2Vec + Qdrant,Parasite,48311,Parasite,1982,horror science fiction,6,30921,Scanner Cop,1994,science fiction horror action,5.741,79.0,0.88244605,0.75
Word2Vec + Qdrant,Parasite,48311,Parasite,1982,horror science fiction,7,15158,Phantasm II,1988,action horror science fiction thriller,6.211,394.0,0.87360966,0.6
Word2Vec + Qdrant,Parasite,48311,Parasite,1982,horror science fiction,8,170885,Annihilator,1986,science fiction horror tv movie,5.25,12.0,0.8880398,0.6
Word2Vec + Qdrant,Parasite,48311,Parasite,1982,horror science fiction,9,77195,Neon City,1991,science fiction adventure action,4.895,38.0,0.89998996,0.4
Word2Vec + Qdrant,Parasite,48311,Parasite,1982,horror science fiction,10,78242,Peacemaker,1990,science fiction action,5.107,14.0,0.88597184,0.5
Word2Vec + Qdrant,La La Land,313369,La La Land,2016,comedy drama romance,1,42297,Burlesque,2010,drama romance,7.213,2379.0,0.9184487,0.6666666666666666
Word2Vec + Qdrant,La La Land,313369,La La Land,2016,comedy drama romance,2,332562,A Star Is Born,2018,music drama romance,7.493,12242.0,0.8781662,0.5
Word2Vec + Qdrant,La La Land,313369,La La Land,2016,comedy drama romance,3,194662,Birdman or (The Unexpected Virtue of Ignorance),2014,drama comedy,7.441,13594.0,0.86451936,0.6666666666666666
Word2Vec + Qdrant,La La Land,313369,La La Land,2016,comedy drama romance,4,786,Almost Famous,2000,drama music,7.5,3104.0,0.8924538,0.25
Word2Vec + Qdrant,La La Land,313369,La La Land,2016,comedy drama romance,5,22538,Scott Pilgrim vs. the World,2010,action comedy romance,7.486,8608.0,0.8693255,0.5
Word2Vec + Qdrant,La La Land,313369,La La Land,2016,comedy drama romance,6,114,Pretty Woman,1990,romance comedy,7.4,8996.0,0.8666575,0.6666666666666666
Word2Vec + Qdrant,La La Land,313369,La La Land,2016,comedy drama romance,7,243,High Fidelity,2000,drama comedy romance music,7.1,2194.0,0.88595617,0.75
Word2Vec + Qdrant,La La Land,313369,La La Land,2016,comedy drama romance,8,4995,Boogie Nights,1997,drama comedy,7.6,3573.0,0.86625826,0.6666666666666666
Word2Vec + Qdrant,La La Land,313369,La La Land,2016,comedy drama romance,9,615777,Babylon,2022,drama comedy,7.349,3784.0,0.8663448,0.6666666666666666
Word2Vec + Qdrant,La La Land,313369,La La Land,2016,comedy drama romance,10,86829,Inside Llewyn Davis,2013,drama music,7.182,2931.0,0.8720542,0.25
Word2Vec + Qdrant,Spirited Away,129,Spirited Away,2001,animation family fantasy,1,4935,Howl's Moving Castle,2004,fantasy animation adventure,8.388,11107.0,0.9471463,0.5
Word2Vec + Qdrant,Spirited Away,129,Spirited Away,2001,animation family fantasy,2,8392,My Neighbor Totoro,1988,fantasy animation family,8.064,8826.0,0.94116837,1.0
Word2Vec + Qdrant,Spirited Away,129,Spirited Away,2001,animation family fantasy,3,51739,The Secret World of Arrietty,2010,fantasy animation family,7.67,3175.0,0.9615929,1.0
Word2Vec + Qdrant,Spirited Away,129,Spirited Away,2001,animation family fantasy,4,1359607,Miss Kobayashi's Dragon Maid: A lonely dragon wants to be loved,2025,animation comedy fantasy,8.522,46.0,0.9530922,0.5
Word2Vec + Qdrant,Spirited Away,129,Spirited Away,2001,animation family fantasy,5,648457,DEEMO Memorial Keys,2022,animation drama romance mystery fantasy,7.5,18.0,0.9611633,0.3333333333333333
Word2Vec + Qdrant,Spirited Away,129,Spirited Away,2001,animation family fantasy,6,810693,Jujutsu Kaisen 0,2021,animation action fantasy,8.104,1758.0,0.94502455,0.5
Word2Vec + Qdrant,Spirited Away,129,Spirited Away,2001,animation family fantasy,7,942881,Lonely Castle in the Mirror,2022,animation drama mystery fantasy,7.1,106.0,0.96373177,0.4
Word2Vec + Qdrant,Spirited Away,129,Spirited Away,2001,animation family fantasy,8,92321,Hotarubi no Mori e,2011,romance animation fantasy,8.257,1218.0,0.94192606,0.5
Word2Vec + Qdrant,Spirited Away,129,Spirited Away,2001,animation family fantasy,9,916224,Suzume,2022,animation drama adventure fantasy,7.886,1745.0,0.94370866,0.4
Word2Vec + Qdrant,Spirited Away,129,Spirited Away,2001,animation family fantasy,10,492136,Destiny: The Tale of Kamakura,2017,mystery drama fantasy,7.421,38.0,0.9545947,0.2
